ID,Job,Jobs_Group,Profile,Remote,Company,Location,City,State,Salary,Frecuency_Salary,Low_Salary,High_Salary,Mean_Salary,Skills
job_dd21611605e12f1c,Enterprise Business Intelligence Analyst I,Business Intelligence,,,BOK Financial,"Tulsa, OK 74101",Tulsa,OK,,,,,,"['Bachelor', 'Office', 'Power BI']"
job_64d9fb0d5e3351ae,"Business Analyst, Commercial Strategy",Business Analyst,,Remote,Live Nation,"Chicago, IL",Chicago,IL,,,,,,"['PowerPoint', 'Tableau', 'Bachelor', 'Excel']"
job_3f63ec9a3f8d6a9e,Business Analyst I,Business Analyst,,Hybrid,Amex,"Phoenix, AZ",Phoenix,AZ,"$55,000 - $105,000 por año",año,55000.0,105000.0,80000.0,"['Tableau', 'Python', 'VBA', 'Master', 'Excel', 'SQL']"
job_f78f07684adbc4c4,"Sr. Analyst, Business Optimization (Remote)",Business Analyst,Senior,Remote,Staples,Remote,,,"$57,300 - $86,400 por año",año,57300.0,86400.0,71850.0,['Office']
job_72945a28e345817a,Business Risk Analyst I - Commercial Risk,Business Analyst,,,M&T Bank,"Buffalo, NY",Buffalo,NY,,,,,,['Bachelor']
job_dfe15a1f6c7aab3f,Business Analyst (Remote Possible),Business Analyst,,Remote,Equitable,"Charlotte, NC+2 ubicaciones",Charlotte,NC,"$67,000 - $100,000 por año",año,67000.0,100000.0,83500.0,['Agile']
job_45db01c9815b8baa,Business Intelligence Analyst Team lead,Business Intelligence,Lead,,Geisinger,"Danville, PA+1 ubicación",Danville,PA,,,,,,"['Master', 'Bachelor']"
job_6b8f248541185c6d,Business Intelligence Analyst II,Business Intelligence,,,Yamaha Motor,"Kennesaw, GA 30144",Kennesaw,GA,,,,,,"['PowerPoint', 'Bachelor', 'Tableau', 'Office', 'SAP', 'Power BI', 'SAP Analytics Cloud', 'Excel']"
job_ff6641d787a7b8fd,Business Analyst,Business Analyst,,,True Helix,"Delmont, PA",Delmont,PA,,,,,,[]
job_2db609a08dd3677c,"Sr. Business Analyst, Analytics & Insights, Commercial Excellence (Deerfield, IL or Remote)",Business Analyst,Senior,Remote,BAXTER,"Deerfield, IL 60015",Deerfield,IL,"$60,000 - $132,000 por año",año,60000.0,132000.0,96000.0,"['PowerPoint', 'Bachelor', 'Tableau', 'Python', 'Power BI', 'Excel', 'SQL']"
job_8cb73d60f5463ebd,Business Financial Analyst,Financial Analyst,,Remote,ABB,"Vega Baja Municipio, PR+1 ubicación",Vega Baja Municipio,PR,,,,,,"['Bachelor', 'Spanish', 'English']"
job_48f3cb5ebacb3459,IT Business Intelligence Analyst III,Business Intelligence,,,Nova Southeastern University,"Fort Lauderdale, FL 33314",Fort Lauderdale,FL,,,,,,"['Bachelor', 'SQL', 'English']"
job_3b111ef621f7121b,Business Analyst,Business Analyst,,,Smartfish,"Chesapeake, VA 23322 (Great Bridge area)",Chesapeake,VA,,,,,,[]
job_ee5df2598fa3e620,Business Intelligence Analyst,Business Intelligence,,,AI Cyber Solutions,"Tampa, FL 33614",Tampa,FL,,,,,,['Artificial Intelligence']
job_e50150e4d356a73f,Business Insights Analyst,Business Analyst,,Remote,Surya Systems,"San Francisco, CA",San Francisco,CA,$70 por hora,hora,128800.0,128800.0,128800.0,['SQL']
job_be255e2e60af61b1,"Data Analyst, Business Analysis and Reporting",Data Analyst,,,Publix,"Lakeland, FL 33811",Lakeland,FL,"$70,785 - $107,640 por año",año,70785.0,107640.0,89212.5,"['Bachelor', 'Access', 'SQL']"
job_97c4fd0aceb69791,Customer Business Analyst,Business Analyst,,Hybrid,INTEL,"Hillsboro, OR+4 ubicaciones",Hillsboro,OR,"$65,490 - $88,660 por año",año,65490.0,88660.0,77075.0,"['HTML', 'Bachelor']"
job_01799c41b65413ae,Supply Chain Business Process Analyst,Business Analyst,,,Halliburton,"Duncan, OK 73533",Duncan,OK,,,,,,"['Power Apps', 'SQL', 'Power BI']"
job_faabe00ca75ee5d9,IT Business Analyst,Business Analyst,,,Community Care Plan,"Sunrise, FL 33323",Sunrise,FL,,,,,,['Bachelor']
job_24e003c090034271,"Technical Business Analyst, IT Business Solutions",Business Analyst,,,Exact Sciences Corporation,"Madison, WI 53719",Madison,WI,"$65,000 - $105,000 por año",año,65000.0,105000.0,85000.0,"['Bachelor', 'Office', 'Agile']"
job_e5987fd403a28c4a,IT Business Analyst,Business Analyst,,,Emcor,"Cincinnati, OH",Cincinnati,OH,,,,,,"['Bachelor', 'Office', 'Oracle', 'ERP', 'SQL']"
job_337983cac54cf256,Sr. Business Development Analyst,Business Analyst,Senior,Remote,Tesla,"Palo Alto, CA",Palo Alto,CA,,,,,,"['Word', 'PowerPoint', 'Excel', 'English']"
job_c102a6f21cd9bf93,Business Process Analyst,Business Analyst,,Remote,Bayer,"Berkeley, CA",Berkeley,CA,"$154,523 - $169,854 por año",año,154523.0,169854.0,162188.5,['SAP']
